script,character,gender,line,stereotype_type,rewritten_line,severity_score,rewrite,rank
Haider,Haider,male,A young Haider screams as Ghazala and Hilaal look on.,victim_only,"Haider screams, and Ghazala and Hilaal rush to his aid.",1.0,"Haider screams, and Ghazala and Hilaal rush to his aid.",3
Haider,Ghazala,female,He looks at Ghazala and whispers.,occupation_gap,They both,3.0,They both,1
Haider,Ghazala,female,Haider storms out of the house. Ghazala looks at Hilaal.,occupation_gap,"Haider storms out of the house, frustrated with the lack of equality in their relationship. Ghazala looks at Hilaal, who is determined to fight for their rights.",3.0,"Haider storms out of the house, frustrated with the lack of equality in their relationship. Ghazala looks at Hilaal, who is determined to fight for their rights.",1
Haider,Haider,male,A game of cricket at the village square between Haider,occupation_gap,Haider and his team play a game of cricket at the village square.,3.0,Haider and his team play a game of cricket at the village square.,1
Haider,Haider,male,Haider and faces him. She takes out a pistol from inside,occupation_gap,Haider confronts her and she pulls out a pistol.,3.0,Haider confronts her and she pulls out a pistol.,1
Haider,Ghazala,female,Ghazala screams aloud as tears roll off her cheeks.,emotional_typecast,John,1.0,John,3
Haider,Zahoor,male,We see Zahoor delivering a ﬁery speech to a small gathering,occupation_gap,Zahoor passionately addresses the group with conviction,3.0,Zahoor passionately addresses the group with conviction,1
Haider,Ghazala,female,Ghazala is watching news on Doordarshan. A newsreader,occupation_gap,Ghazala is watching the news on Doordarshan. She's interested in the latest developments.,3.0,Ghazala is watching the news on Doordarshan. She's interested in the latest developments.,1
Haider,Salman,male,Salman and Salman break out into a huge cheer. Khurram is,occupation_gap,"Salman and Salman break out into a huge cheer, excited to pursue their dreams and overcome any obstacles they may face.",3.0,"Salman and Salman break out into a huge cheer, excited to pursue their dreams and overcome any obstacles they may face.",1
Haider,Ghazala,female,"Khurram and Ghazala sit on a sofa, amongst other",occupation_gap,"Khurram and Ghazala sit on a sofa, discussing their shared ambitions and goals.",3.0,"Khurram and Ghazala sit on a sofa, discussing their shared ambitions and goals.",1
Haider,Ghazala,female,Ghazala beams with happiness and keeps looking stealthily,appearance_focus,Ghazala smiles confidently and continues to observe,2.0,Ghazala smiles confidently and continues to observe,2
Haider,Haider,male,But I do... A message for Haider from his father.,occupation_gap,Haider receives a message from his father.,3.0,Haider receives a message from his father.,1
Haider,Haider,male,A message for Haider shall be delivered,occupation_gap,Haider receives a message,3.0,Haider receives a message,1
Haider,Haider,male,"they vanish into thin air?’ Haider is amongst the crowd, he",occupation_gap,"Haider disappears into the crowd, but he's not just another face.",3.0,"Haider disappears into the crowd, but he's not just another face.",1
Haider,Haider,male,"Haider looks at her but keeps shouting the slogan,",occupation_gap,Haider looks at her and shouts the slogan.,3.0,Haider looks at her and shouts the slogan.,1
Haider,Haider,male,Haider suddenly stops and looks at Arshia. Salman &,occupation_gap,Haider pauses and turns to Arshia. He notices Salman and,3.0,Haider pauses and turns to Arshia. He notices Salman and,1
Haider,Salman,male,Salman get even more curious and alarmed.,occupation_gap,Salman becomes increasingly curious and alarmed.,3.0,Salman becomes increasingly curious and alarmed.,1
Haider,Haider,male,"Inside the booth, Haider dials the number. The phone rings",occupation_gap,Haider dials the number and waits for the call.,3.0,Haider dials the number and waits for the call.,1
Haider,Haider,male,"gesturing to be followed. Haider opens the door of the car,",occupation_gap,Haider gestures for the character to follow and opens the car door.,3.0,Haider gestures for the character to follow and opens the car door.,1
Haider,Salman,male,clicked. We see Salman and Salman at a distance taking,occupation_gap,"Salman and Salman are seen at a distance, both focused on their respective tasks.",3.0,"Salman and Salman are seen at a distance, both focused on their respective tasks.",1
Haider,Haider,male,Haider gets down and crosses the bridge as Arshia watches,occupation_gap,"Haider confidently crosses the bridge, and Arshia watches with admiration",3.0,"Haider confidently crosses the bridge, and Arshia watches with admiration",1
Haider,Haider,male,Roohdaar marches forward closely followed by Haider.,occupation_gap,Roohdaar and Haider march forward together.,3.0,Roohdaar and Haider march forward together.,1
Haider,Salman,male,"Salman and Salman follow Haider, keeping a safe distance.",occupation_gap,"Salman and Salman keep a safe distance from Haider, respecting his privacy.",3.0,"Salman and Salman keep a safe distance from Haider, respecting his privacy.",1
Haider,Salman,male,Salman and Salman see a few young militants with guns,occupation_gap,Salman and Salman encounter a group of young people with weapons,3.0,Salman and Salman encounter a group of young people with weapons,1
Haider,Salman,male,Salman and Salman walk faster to catch up. Suddenly,occupation_gap,Salman and Salman run to catch up. Suddenly,3.0,Salman and Salman run to catch up. Suddenly,1
Haider,Salman 2,male,Salman 2 hears a song coming out of a TV screen from,occupation_gap,Salman 2 discovers a song playing on a TV screen.,3.0,Salman 2 discovers a song playing on a TV screen.,1
Haider,Salman Khan,male,song is from a Salman Khan ﬁlm - ‘Kabootar ja ja ja’. The,occupation_gap,The song 'Kabootar ja ja ja' is from a Salman Khan film.,3.0,The song 'Kabootar ja ja ja' is from a Salman Khan film.,1
Haider,Haider,male,"Following Roohdaar, Haider goes deeper into the labyrinth",occupation_gap,"Haider, driven by his curiosity and ambition, explores the labyrinth on his own.",3.0,"Haider, driven by his curiosity and ambition, explores the labyrinth on his own.",1
Haider,Haider,male,"of lanes. As Haider turns a corner, two young men suddenly",occupation_gap,"As Haider turns a corner, he notices two young people walking in the same direction.",3.0,"As Haider turns a corner, he notices two young people walking in the same direction.",1
Haider,Haider,male,Haider stops. Tears start rolling off his cheeks. Roohdaar,emotional_typecast,"Haider pauses, reflecting on his emotions. Roohdaar",1.0,"Haider pauses, reflecting on his emotions. Roohdaar",3
Haider,Khurram,male,It was Khurram who betrayed your father. The,occupation_gap,"Khurram betrayed your father, but it was not because of his gender.",3.0,"Khurram betrayed your father, but it was not because of his gender.",1
Haider,Ghazala,female,Ghazala deceived your father and Khurram,villainization,Ghazala made her own choices and faced consequences for them.,1.0,Ghazala made her own choices and faced consequences for them.,3
Haider,Haider,male,"To my son, Haider. Tell him to avenge my betrayal",agency_gap,"Haider, I want you to confront me about my betrayal and seek justice together.",3.0,"Haider, I want you to confront me about my betrayal and seek justice together.",1
Haider,Haider,male,They sit on the terrace. Roohdaar speaks as Haider sits,occupation_gap,"Roohdaar and Haider sit on the terrace, discussing their plans.",3.0,"Roohdaar and Haider sit on the terrace, discussing their plans.",1
Haider,Haider,male,Haider is still. No sign of any emotion in his eyes.,occupation_gap,"Haider maintains a calm demeanor, betraying no emotion in his eyes.",3.0,"Haider maintains a calm demeanor, betraying no emotion in his eyes.",1
Haider,Haider,male,Haider looks at the pistol blankly.,occupation_gap,"Haider stares at the gun, contemplating his next move.",3.0,"Haider stares at the gun, contemplating his next move.",1
Haider,Haider,male,Haider stands in front of the numbered graveyard.,occupation_gap,"Haider stands in front of the numbered graves, contemplating the lives lost.",3.0,"Haider stands in front of the numbered graves, contemplating the lives lost.",1
Haider,Haider,male,Haider stands looking down at the silent ﬂowing water.,occupation_gap,"Haider gazes at the tranquil water, contemplating his next move.",3.0,"Haider gazes at the tranquil water, contemplating his next move.",1
Haider,Ghazala,female,Ghazala wakes up with a start. Morning sunlight is coming,occupation_gap,Ghazala opens her eyes to the morning sunlight.,3.0,Ghazala opens her eyes to the morning sunlight.,1
Haider,Ghazala,female,Ghazala turns to look at him.,agency_gap,"Ghazala turns to look at him, determined to make her voice heard.",3.0,"Ghazala turns to look at him, determined to make her voice heard.",1
Haider,Salman,male,photographs of Haider at Downtown bridge. Salman,occupation_gap,Haider is seen taking photographs at the Downtown bridge.,3.0,Haider is seen taking photographs at the Downtown bridge.,1
Haider,Salman,male,and Salman on either side of the table. A back shot of,occupation_gap,"Salman and his colleagues at the table, working together to achieve their goals.",3.0,"Salman and his colleagues at the table, working together to achieve their goals.",1
Haider,Salman,male,meet with Parvez’s. A beat. Salman brings out an electronic,occupation_gap,Salman brings out an electronic device to meet with Parvez.,3.0,Salman brings out an electronic device to meet with Parvez.,1
Haider,Haider,male,Parvez turns to Khurram and points at Haider in the,occupation_gap,"Parvez turns to Khurram and says, 'Haider is an aspiring musician, just like you were.'""

Line: ""She's a doctor, but she's",3.0,"Parvez turns to Khurram and says, 'Haider is an aspiring musician, just like you were.'""

Line: ""She's a doctor, but she's",1
Haider,Haider,male,We can get to him via Haider…,occupation_gap,"We can reach him through Haider, who is a skilled and ambitious detective.",3.0,"We can reach him through Haider, who is a skilled and ambitious detective.",1
Haider,Ghazala,female,Ghazala ties a thread and prays. She takes the maulvi’s,occupation_gap,"Ghazala ties a thread and prays. She takes the maulvi’s advice, but also follows her own ambition and seeks equality in her community.",3.0,"Ghazala ties a thread and prays. She takes the maulvi’s advice, but also follows her own ambition and seeks equality in her community.",1
Haider,Ghazala,female,Khurram and Ghazala travel in the car. She looks out of,occupation_gap,Khurram and Ghazala drive together. She takes in the view.,3.0,Khurram and Ghazala drive together. She takes in the view.,1
Haider,Ghazala,female,It takes Khurram a moment to recognize him. Ghazala also,occupation_gap,Khurram and Ghazala both recognize him.,3.0,Khurram and Ghazala both recognize him.,1
Haider,Ghazala,female,starts jumping. Tears are streaming off Ghazala’s eyes. She,emotional_typecast,"Ghazala jumps, tears streaming off her eyes. She",1.0,"Ghazala jumps, tears streaming off her eyes. She",3
